lc_id,title,topic,source_md,target_py,py_exists,seen_in_days,status,tags,notes
LC005,Longest Palindromic Substring,dynamic_programming,LC005_longest-palindromic-substring.md,LC005_longest-palindromic-substring.py,no,Day-23;Day-55,todo,dynamic_programming,
LC010,Regular Expression Matching,dynamic_programming,LC010_regular-expression-matching.md,LC010_regular-expression-matching.py,no,Day-23;Day-63,todo,dynamic_programming,
LC062,Unique Paths,dynamic_programming,LC062_unique-paths.md,LC062_unique-paths.py,no,Day-16;Day-40;Day-65,todo,dynamic_programming,
LC064,Minimum Path Sum,dynamic_programming,LC064_minimum-path-sum.md,LC064_minimum-path-sum.py,no,Day-16,todo,dynamic_programming,
LC070,Climbing Stairs,dynamic_programming,LC070_climbing-stairs.md,LC070_climbing-stairs.py,no,Day-10;Day-38,todo,dynamic_programming,
LC072,Edit Distance,dynamic_programming,LC072_edit-distance.md,LC072_edit-distance.py,no,Day-16;Day-65,todo,dynamic_programming,
LC091,Decode Ways,dynamic_programming,LC091_decode-ways.md,LC091_decode-ways.py,no,Day-66,todo,dynamic_programming,
LC1143,Longest Common Subsequence,dynamic_programming,LC1143_longest-common-subsequence.md,LC1143_longest-common-subsequence.py,no,Day-16;Day-40;Day-75,todo,dynamic_programming,
LC121,Best Time To Buy And Sell Stock,dynamic_programming,LC121_best-time-to-buy-and-sell-stock.md,LC121_best-time-to-buy-and-sell-stock.py,no,Day-02;Day-88,todo,dynamic_programming,
LC131,Palindrome Partitioning,dynamic_programming,LC131_palindrome-partitioning.md,LC131_palindrome-partitioning.py,no,Day-74,todo,dynamic_programming,
LC139,Word Break,dynamic_programming,LC139_word-break.md,LC139_word-break.py,no,Day-69,todo,dynamic_programming,
LC198,House Robber,dynamic_programming,LC198_house-robber.md,LC198_house-robber.py,no,Day-10;Day-46;Day-57,todo,dynamic_programming,
LC213,House Robber Ii,dynamic_programming,LC213_house-robber-ii.md,LC213_house-robber-ii.py,no,Day-46,todo,dynamic_programming,
LC300,Longest Increasing Subsequence,dynamic_programming,LC300_longest-increasing-subsequence.md,LC300_longest-increasing-subsequence.py,no,Day-10;Day-38;Day-54;Day-83,todo,dynamic_programming,
LC322,Coin Change,dynamic_programming,LC322_coin-change.md,LC322_coin-change.py,no,Day-10;Day-37;Day-38;Day-54,todo,dynamic_programming,
LC416,Partition Equal Subset Sum,dynamic_programming,LC416_partition-equal-subset-sum.md,LC416_partition-equal-subset-sum.py,no,Day-83,todo,dynamic_programming,
LC583,Delete Operation For Two Strings,dynamic_programming,LC583_delete-operation-for-two-strings.md,LC583_delete-operation-for-two-strings.py,no,Day-75,todo,dynamic_programming,
LC647,Palindromic Substrings,dynamic_programming,LC647_palindromic-substrings.md,LC647_palindromic-substrings.py,no,Day-23;Day-55;Day-69,todo,dynamic_programming,
LC746,Min Cost Climbing Stairs,dynamic_programming,LC746_min-cost-climbing-stairs.md,LC746_min-cost-climbing-stairs.py,no,Day-46,todo,dynamic_programming,
